"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1584.56/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","Cody"
"0x498388f3e21fcb3273950dc47fa202e47c4079769bbe4993e236b9c07f7069e8","15309201","1660064864","2022-08-09 17:07:44","0x382b5a835895f59f755cc8ef002dc96fd5514c0c","","0xd1258db6ac08eb0e625b75b371c023da478e94a9","0","0","0","0.190742433452957424","302.242830352218","1703.41","","","0x61014060",""
"0x0af7796941a005a68ca2d27469950fe2a34744a01a06e0053211930e2b2e76d1","15309245","1660065438","2022-08-09 17:17:18","0x382b5a835895f59f755cc8ef002dc96fd5514c0c","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.001658845832748154","2.62854075273941","1703.41","","","Set Signer",""
"0xa602ad5552dbb6ad15e99f33bb4ac73bcb7fc7dba1d465708bbb609c7ddb5386","15309255","1660065550","2022-08-09 17:19:10","0x382b5a835895f59f755cc8ef002dc96fd5514c0c","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.002966147798930316","4.70003915627302","1703.41","","","Set Base URI",""
"0xc1007a67a28854cbb0a832c2c2d8ba6a46b06d00a8ea783cc8f7ea84c658285d","15309276","1660065814","2022-08-09 17:23:34","0x3d57318b9b4aa11d77d2b153c543369cedfd3904","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.004199152634196093","6.65380929804176","1703.41","","","Mint Public",""
"0x056e9fd5a605667b549317fba90440677889d5d1fcf7a30f0f3fd9f3a78a0b93","15309302","1660066193","2022-08-09 17:29:53","0xd485ec655462ca3af8be999536514c079a99bb0f","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.002794745256150321","4.42844154308555","1703.41","","","Mint Public",""
"0x25ab33eaf59c869ae5674851ffc99838d48f4a6a3d0186f11ff429949cca5421","15309337","1660066740","2022-08-09 17:39:00","0x382b5a835895f59f755cc8ef002dc96fd5514c0c","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.07412907930423756","117.461973902323","1703.41","","","Mint From Owner",""
"0xe87fd528057e38fcf15603c410564ab7820965425e2a2dbac7a318a9e9a0ec90","15309609","1660070615","2022-08-09 18:43:35","0x382b5a835895f59f755cc8ef002dc96fd5514c0c","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.001178792364400014","1.86786722893369","1703.41","","","Set Royalty Info",""
"0xb0ddc9af7751dfec831c661c01bf83bc6461d8e1d3ea2ba8cd3e0ccf4b4ffbc5","15309634","1660070895","2022-08-09 18:48:15","0x954536dacf5860f3c8d4dd0d25b7a85818e08864","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.001990151807275287","3.15351494773613","1703.41","","","Mint Public",""
"0x531ad2073a530244fb87ec829a2043fc2d512cecb79339050d33abeb84b281f3","15309648","1660071095","2022-08-09 18:51:35","0x8bcfc7a0990d3853daa69018a8e9471e0757385c","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.00532005","8.429938428","1703.41","","","Mint Public",""
"0xc893688029878b194a039597e9f0c6edeef908dd44feca5d7727d2339802bafb","15309648","1660071095","2022-08-09 18:51:35","0xfc91e14a606cef9381c3f2761fafb613df5c2dcd","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.02660025","42.14969214","1703.41","","","Mint Public",""
"0x280b2c1f31c1f70c5f2a14d8f4d170c474dfaad898fa03675bbd7b1da86edf77","15309648","1660071095","2022-08-09 18:51:35","0x5992d3f499e1ae0b010bb8d8ea1486853dc247ce","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.02659725","42.14493846","1703.41","","","Mint Public",""
"0xf7b3acc8be65bd33c267183d72261b6466f1339a29b1c2440f8e88974cba1a4b","15309648","1660071095","2022-08-09 18:51:35","0x4bd4ab92cd74373e5efdb41b1cec0fe15564592b","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.004211213947752876","6.6729211730513","1703.41","","","Mint Public",""
"0x7b99d92a9768a6ef70396f9b670bd08fdee6d01a79d56b651f4a5b80386b3b2d","15309648","1660071095","2022-08-09 18:51:35","0xed862d9000356cedfdea4650666312d04cc30a46","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.002657154927509088","4.2104214119338","1703.41","","","Mint Public",""
"0xf9aa95b71caba04cdaabfcacb6b51a2eac3d67f5f86111f22574c6f164745d8d","15309648","1660071095","2022-08-09 18:51:35","0x6cef15e37392f13d0873dc18497ca8087c681e01","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.002497083966991328","3.95677937073578","1703.41","","","Mint Public",""
"0x48358449510fe53533a6ac123c0dcd477ad940565e5384ffa7ca4b822bf5ccf3","15309648","1660071095","2022-08-09 18:51:35","0xc5f69bce0f850d93ab9173c7131750cb774dd853","0xd1258db6ac08eb0e625b75b371c023da478e94a9","","0","0","0","0.002443617790680672","3.87205900640097","1703.41","","","Mint Public",""
